id,CAD_Number,Call Type,Date,Address,City,State,Latitude,Longitude,Zone,Responding Officer
1,1,Traffic,1/13/2022 17:29,717 Alpine Plaza,Henderson,Nevada,36.0119,-115.0433,Z1,Anderson
2,2,Alarm,1/8/2021 12:47,7854 Meadow Ridge Terrace,Las Vegas,Nevada,36.2471,-115.221,Z3,Collins
3,3,Traffic,11/4/2021 17:15,309 Hooker Park,Las Vegas,Nevada,36.1378,-115.3261,Z4,Bennett
4,4,Traffic,11/24/2020 13:40,05485 Comanche Street,Las Vegas,Nevada,36.3265,-115.3398,Z1,Gonzalez
5,5,Welfare Check,11/15/2021 20:47,23 Ramsey Center,Las Vegas,Nevada,36.086,-115.1471,Z6,Taylor
6,6,Traffic,12/27/2021 13:32,7759 Granby Park,Las Vegas,Nevada,36.3265,-115.3398,Z2,Bell
7,7,Property Crime,3/10/2020 8:12,3 Independence Point,Las Vegas,Nevada,36.2471,-115.221,Z3,Nelson
8,8,Violent Crime,3/11/2020 19:24,98 Amoth Park,Las Vegas,Nevada,36.2235,-115.2655,Z3,Wood
9,9,Violent Crime,5/13/2023 13:38,3520 Dahle Alley,Carson City,Nevada,39.1678,-119.7764,Z6,Miller
10,10,Alarm,4/1/2020 17:36,69814 Anhalt Crossing,Las Vegas,Nevada,36.173,-115.0669,Z5,Hernandez
11,11,Property Crime,1/30/2020 9:18,18 Petterle Parkway,Las Vegas,Nevada,36.1378,-115.3261,Z2,Thompson
12,12,Violent Crime,11/22/2020 16:50,059 Roxbury Parkway,Las Vegas,Nevada,36.2158,-115.0671,Z8,Campbell
13,13,Property Crime,12/29/2023 20:18,13236 Cottonwood Avenue,Las Vegas,Nevada,35.9279,-114.9721,Z5,Clark
14,14,Welfare Check,7/14/2020 5:16,31862 Meadow Vale Way,Las Vegas,Nevada,35.9977,-115.2861,Z2,Sanders
15,15,Property Crime,2/22/2024 22:22,927 Laurel Park,Las Vegas,Nevada,36.1378,-115.3261,Z2,Clark
16,16,Alarm,2/5/2022 6:12,759 Norway Maple Road,Las Vegas,Nevada,35.9279,-114.9721,Z5,Green
17,17,Traffic,6/10/2024 23:07,969 Moose Hill,Reno,Nevada,39.7699,-119.6027,Z5,Richardson
18,18,Alarm,10/3/2021 2:29,83661 Melby Drive,Reno,Nevada,39.4814,-119.8591,Z8,Morris
19,19,Alarm,9/13/2024 11:22,83499 Blue Bill Park Court,Las Vegas,Nevada,36.1378,-115.3261,Z6,Parker
20,20,Alarm,9/2/2021 0:17,99618 Laurel Center,Las Vegas,Nevada,36.3265,-115.3398,Z5,Gonzalez
21,21,Traffic,12/9/2022 8:27,72908 Pepper Wood Center,Reno,Nevada,40.5412,-119.5869,Z2,Clark
22,22,Welfare Check,1/19/2024 1:49,1 American Junction,Las Vegas,Nevada,36.3265,-115.3398,Z1,Moore
23,23,Welfare Check,3/18/2023 9:44,6 Sutteridge Pass,North Las Vegas,Nevada,35.9279,-114.9721,Z7,Edwards
24,24,Welfare Check,12/28/2024 12:27,64 Cascade Alley,Las Vegas,Nevada,36.086,-115.1471,Z4,Lopez
25,25,Welfare Check,8/4/2020 12:48,43600 Sauthoff Drive,Reno,Nevada,39.5387,-119.8225,Z7,Jackson
26,26,Alarm,8/4/2021 0:57,234 2nd Court,Carson City,Nevada,39.2025,-119.7526,Z2,Lopez
27,27,Property Crime,12/2/2024 13:59,808 Scott Park,Las Vegas,Nevada,35.9279,-114.9721,Z6,Wood
28,28,Welfare Check,11/9/2022 20:23,0 Cody Plaza,Las Vegas,Nevada,35.9279,-114.9721,Z3,White
29,29,Property Crime,8/9/2024 6:45,9 Veith Street,Las Vegas,Nevada,35.9279,-114.9721,Z7,Wilson
30,30,Traffic,4/19/2020 2:12,81 Veith Hill,North Las Vegas,Nevada,35.9279,-114.9721,Z8,Torres
31,31,Traffic,10/19/2022 0:39,00252 Independence Parkway,North Las Vegas,Nevada,36.2204,-115.1458,Z4,Bell
32,32,Alarm,2/2/2021 15:56,388 Cambridge Terrace,Las Vegas,Nevada,36.0914,-115.0885,Z8,Richardson
33,33,Violent Crime,8/6/2022 3:04,06 Forest Dale Point,Henderson,Nevada,36.0384,-115.0857,Z3,Taylor
34,34,Welfare Check,10/23/2021 17:21,6 Farragut Way,Las Vegas,Nevada,36.2471,-115.221,Z8,Peterson
35,35,Property Crime,12/10/2023 7:07,795 Veith Alley,Henderson,Nevada,36.0119,-115.0433,Z8,Cook
36,36,Property Crime,1/27/2021 13:59,51916 Center Terrace,Sparks,Nevada,39.6269,-119.7081,Z3,Johnson
37,37,Property Crime,12/10/2020 16:09,629 Hintze Center,Las Vegas,Nevada,36.2158,-115.0671,Z3,Harris
38,38,Alarm,7/6/2020 1:01,3578 Michigan Crossing,Las Vegas,Nevada,36.1693,-115.2828,Z8,Thompson
39,39,Alarm,9/3/2020 8:07,474 New Castle Crossing,Las Vegas,Nevada,36.2471,-115.221,Z8,Harris
40,40,Alarm,5/23/2022 9:41,41 Eagan Drive,Las Vegas,Nevada,35.9977,-115.2861,Z8,Miller
41,41,Violent Crime,3/11/2024 20:49,51 Lakeland Circle,Las Vegas,Nevada,35.9279,-114.9721,Z1,Roberts
42,42,Traffic,9/12/2023 17:17,180 Melrose Avenue,Las Vegas,Nevada,35.9279,-114.9721,Z1,Stewart
43,43,Welfare Check,9/7/2021 21:20,8680 Shoshone Junction,Las Vegas,Nevada,36.086,-115.1471,Z7,Peterson
44,44,Property Crime,3/30/2024 2:41,126 Village Plaza,Las Vegas,Nevada,35.9279,-114.9721,Z2,Gray
45,45,Traffic,4/21/2020 20:46,6974 Division Alley,Las Vegas,Nevada,36.1378,-115.3261,Z6,Turner
46,46,Welfare Check,11/17/2023 1:47,2 Di Loreto Avenue,Las Vegas,Nevada,36.1693,-115.2828,Z3,Baker
47,47,Traffic,11/11/2020 6:25,43706 Loomis Junction,Reno,Nevada,39.5224,-119.8353,Z3,Adams
48,48,Property Crime,12/3/2021 23:50,6342 South Pass,Reno,Nevada,39.5224,-119.8353,Z8,Rivera
49,49,Welfare Check,7/13/2022 6:23,28 Mcbride Road,Las Vegas,Nevada,36.3265,-115.3398,Z3,Edwards
50,50,Property Crime,3/22/2020 16:52,0413 Superior Trail,Las Vegas,Nevada,35.9977,-115.2861,Z5,Bailey
51,51,Property Crime,9/7/2022 6:05,21502 Esch Road,Reno,Nevada,40.5412,-119.5869,Z5,White
52,52,Alarm,2/6/2023 17:25,545 Sugar Pass,Las Vegas,Nevada,36.2471,-115.221,Z3,Edwards
53,53,Traffic,9/14/2022 14:14,132 Mayer Trail,Las Vegas,Nevada,36.173,-115.0669,Z5,Sanchez
54,54,Violent Crime,12/27/2019 9:11,3 Westerfield Trail,Las Vegas,Nevada,35.9279,-114.9721,Z4,Sanchez
55,55,Traffic,2/9/2021 5:10,0 Spenser Parkway,Las Vegas,Nevada,36.086,-115.1471,Z7,Bailey
56,56,Traffic,2/21/2021 21:37,145 Erie Court,Las Vegas,Nevada,35.9279,-114.9721,Z3,Hill
57,57,Alarm,7/20/2021 14:45,31 Knutson Street,Henderson,Nevada,36.0119,-115.0433,Z8,Wilson
58,58,Alarm,1/15/2020 5:05,8888 Duke Way,Carson City,Nevada,39.2025,-119.7526,Z8,Ward
59,59,Violent Crime,12/12/2024 10:48,55 Eastwood Crossing,Las Vegas,Nevada,36.2471,-115.221,Z7,Clark
60,60,Alarm,8/22/2020 17:39,7924 Warner Alley,Las Vegas,Nevada,36.2158,-115.0671,Z8,Rodriguez
61,61,Traffic,6/14/2024 15:54,2200 South Lane,Las Vegas,Nevada,36.3265,-115.3398,Z2,Howard
62,62,Violent Crime,10/30/2019 12:39,3 Service Parkway,Las Vegas,Nevada,36.3265,-115.3398,Z4,Edwards
63,63,Property Crime,1/17/2022 1:48,8216 Barnett Trail,Las Vegas,Nevada,36.2471,-115.221,Z1,Howard
64,64,Violent Crime,4/12/2024 5:13,80 1st Point,Las Vegas,Nevada,36.0914,-115.0885,Z6,King
65,65,Traffic,6/26/2020 21:01,49892 Lawn Lane,Carson City,Nevada,39.2025,-119.7526,Z7,Adams
66,66,Alarm,11/30/2024 5:38,620 Corry Court,Reno,Nevada,39.7699,-119.6027,Z7,Kelly
67,67,Traffic,12/14/2021 15:06,002 Marcy Court,Las Vegas,Nevada,36.2471,-115.221,Z7,Gonzalez
68,68,Alarm,9/12/2023 13:23,197 Lerdahl Trail,Henderson,Nevada,36.0384,-115.0857,Z8,Stewart
69,69,Violent Crime,1/25/2023 4:35,15 Hansons Crossing,Reno,Nevada,39.5224,-119.8353,Z4,Martinez
70,70,Alarm,4/16/2022 5:09,9 Pearson Drive,Las Vegas,Nevada,35.9279,-114.9721,Z7,Nelson
71,71,Traffic,10/17/2022 10:21,91 Shopko Place,Sparks,Nevada,39.6269,-119.7081,Z2,Brown
72,72,Alarm,9/13/2023 4:14,20 Cody Plaza,Las Vegas,Nevada,36.173,-115.0669,Z6,Smith
73,73,Traffic,8/10/2020 6:16,4 Westridge Alley,Henderson,Nevada,36.0119,-115.0433,Z6,Davis
74,74,Property Crime,2/4/2021 17:06,72910 Westport Place,Las Vegas,Nevada,35.9279,-114.9721,Z1,Lewis
75,75,Violent Crime,1/14/2022 21:01,5551 Beilfuss Hill,Las Vegas,Nevada,36.2158,-115.0671,Z5,Clark
76,76,Traffic,10/31/2024 9:22,1982 Laurel Center,Las Vegas,Nevada,36.0914,-115.0885,Z3,Davis
