Offense_Number,Person_ID,Role_Code
3534,3874,Arrest
5821,2554,Victim
5973,641,Suspect
4876,1433,Other
4637,4040,Witness
4823,3821,Other
7585,2268,Other
5510,343,Witness
331,776,Witness
502,3039,Victim
1038,2396,Other
7097,4276,Other
5742,596,Witness
3968,800,Arrest
5060,585,Other
704,4338,Suspect
6953,1361,Suspect
1405,1040,Suspect
3194,3230,Other
3996,3751,Victim
7345,2655,Other
1655,2712,Suspect
760,1367,Victim
3561,522,Arrest
1391,3963,Victim
3724,3092,Suspect
4452,2619,Arrest
5907,1900,Victim
3381,127,Arrest
434,2268,Victim
3793,4482,Victim
1210,3728,Witness
627,592,Other
799,3728,Other
7024,4494,Other
6653,3135,Other
689,3304,Suspect
2080,4634,Victim
5670,1833,Arrest
707,2185,Victim
3309,184,Witness
147,4482,Witness
5987,299,Arrest
431,1100,Arrest
5889,1994,Witness
4473,3505,Suspect
2972,2120,Victim
7680,1975,Arrest
4570,2638,Suspect
1269,1777,Suspect
7874,4903,Witness
5820,3256,Witness
3688,891,Suspect
2455,4837,Suspect
7958,1471,Suspect
4525,4290,Suspect
4744,4559,Other
1822,4627,Victim
4721,2609,Suspect
2610,4841,Arrest
5202,1005,Victim
2166,2059,Witness
3159,1592,Victim
889,4990,Victim
791,463,Victim
2216,240,Other
7945,4207,Witness
5972,2130,Victim
7011,4313,Suspect
1907,4966,Victim
4080,4731,Witness
268,1162,Other
3511,2293,Suspect
7300,1582,Witness
7533,4403,Arrest
3174,3376,Other
2043,3791,Victim
6728,65,Victim
2301,4535,Witness
6909,587,Victim
5463,992,Witness
1170,3052,Victim
6359,1682,Suspect
631,4546,Witness
6759,412,Witness
2370,1569,Victim
5819,1533,Suspect
3631,721,Suspect
474,2494,Suspect
1288,3065,Witness
4921,1858,Witness
473,1378,Arrest
233,1801,Victim
6762,923,Arrest
4637,2301,Other
6117,4543,Other
282,667,Other
1943,2645,Arrest
3241,2955,Arrest
4057,902,Arrest
3240,965,Witness
5335,1155,Witness
419,480,Suspect
6329,3142,Witness
3985,4328,Witness
3505,4415,Other
4861,4112,Arrest
4701,1244,Suspect
1859,2547,Other
5564,3912,Suspect
5541,3018,Arrest
5917,3954,Victim
6434,3254,Witness
7141,1036,Victim
7545,247,Other
5148,1452,Arrest
4329,2052,Suspect
3599,985,Witness
5601,2286,Arrest
1983,3968,Victim
4876,4233,Suspect
1665,562,Victim
3430,3834,Victim
3662,1621,Victim
3044,306,Victim
2414,1476,Suspect
2173,1967,Suspect
3468,2697,Suspect
115,2704,Other
6050,490,Other
7003,3934,Suspect
4786,3651,Victim
5642,804,Other
3434,185,Arrest
7696,3829,Victim
4855,229,Arrest
6469,1811,Witness
6439,4673,Arrest
788,4895,Suspect
7542,4502,Other
6717,2879,Arrest
3194,22,Suspect
2985,4968,Witness
1665,762,Victim
7196,185,Other
7435,4046,Other
1693,357,Victim
749,3323,Victim
198,2232,Witness
731,3735,Arrest
5432,2890,Victim
822,4027,Arrest
3399,1473,Arrest
5847,452,Other
7358,1931,Other
5874,4437,Other
4305,896,Victim
1793,2477,Other
6857,2387,Witness
2948,4889,Witness
4285,1866,Suspect
1389,3696,Arrest
7391,522,Other
3594,3278,Arrest
6192,3436,Suspect
3462,4509,Witness
3963,1315,Victim
3440,4733,Victim
3094,531,Victim
1181,3537,Other
2469,4794,Arrest
2189,496,Victim
4188,573,Victim
978,3814,Victim
2111,1333,Witness
7666,1900,Arrest
7976,1926,Witness
6196,3748,Other
6990,213,Other
1172,1819,Victim
1366,2692,Witness
1307,3857,Victim
628,2868,Other
138,27,Suspect
6082,1259,Victim
4559,2271,Arrest
4,92,Suspect
2274,4912,Arrest
1108,2236,Other
70,1001,Arrest
1501,4011,Other
5513,4978,Suspect
4291,260,Other
4067,4657,Other
7476,1975,Suspect
5521,1847,Victim
5908,3895,Other
1975,2405,Victim
276,428,Other
3593,2376,Suspect
1523,584,Arrest
1062,3433,Victim
2643,3270,Victim
1554,321,Arrest
7736,2031,Witness
909,4931,Witness
6387,3110,Witness
2753,1902,Arrest
2259,625,Victim
6880,187,Other
7126,2364,Victim
1877,3192,Suspect
4578,3172,Arrest
544,1386,Other
2260,1267,Victim
5871,1095,Arrest
6933,2349,Suspect
569,3475,Other
4797,1072,Arrest
2043,3342,Witness
1752,1288,Witness
2611,440,Arrest
6784,1341,Arrest
7619,432,Other
4111,2907,Victim
5726,2180,Victim
3671,265,Arrest
4942,323,Victim
6776,1812,Victim
203,304,Victim
7067,3501,Arrest
1306,2172,Suspect
2611,4739,Witness
6710,622,Other
2413,4635,Arrest
7880,893,Other
5237,4630,Arrest
2756,2882,Arrest
17,2345,Victim
157,3826,Suspect
739,1521,Victim
1661,2037,Suspect
3141,3032,Victim
1637,2147,Other
1336,1777,Witness
5208,3029,Other
336,1136,Witness
4320,4621,Witness
943,4295,Witness
858,3754,Suspect
2563,1367,Witness
4292,3022,Other
3751,1319,Witness
3273,2099,Suspect
7645,3487,Arrest
5642,4001,Victim
1196,112,Other
3534,4770,Victim
1819,3134,Other
2825,2349,Other
3072,4110,Victim
2043,400,Arrest
506,2116,Witness
5178,1085,Other
606,2745,Arrest
5060,1704,Witness
7185,3133,Arrest
2275,2713,Other
1109,4762,Suspect
5851,844,Suspect
1289,2903,Victim
2077,4848,Other
1017,3703,Other
3254,2103,Suspect
4580,2057,Other
6298,1494,Other
7196,4421,Witness
4652,2426,Other
754,2769,Suspect
1483,2599,Victim
808,662,Witness
2186,807,Victim
2214,4304,Arrest
1909,4014,Arrest
639,3479,Arrest
7856,1728,Suspect
7716,2956,Other
3012,2254,Other
4527,4910,Victim
2811,2540,Arrest
402,800,Victim
3742,669,Witness
2502,1004,Witness
4073,2025,Victim
5693,2900,Arrest
621,2131,Other
97,4229,Other
963,1965,Arrest
140,3073,Other
484,3503,Arrest
472,163,Witness
251,4506,Other
4293,2480,Arrest
7997,537,Arrest
2821,2635,Suspect
6941,2880,Suspect
2483,4732,Victim
6406,1306,Witness
6707,828,Suspect
3089,3759,Arrest
7908,3866,Witness
7261,943,Witness
2037,16,Suspect
419,973,Victim
5713,1668,Other
5115,4577,Victim
2759,1762,Other
5601,3195,Suspect
6742,3340,Victim
5593,2965,Other
7096,2385,Victim
4496,1527,Suspect
5703,561,Witness
2873,2872,Witness
1600,3620,Other
2713,2849,Suspect
513,1836,Witness
65,20,Victim
3382,3245,Arrest
2830,2795,Arrest
2377,1469,Suspect
4447,4093,Witness
6526,599,Arrest
1855,4649,Arrest
6460,3749,Other
763,1701,Arrest
2667,1126,Other
5147,4341,Victim
1288,3983,Victim
5902,1421,Victim
2108,3255,Other
1,1064,Victim
4156,3312,Arrest
4960,1955,Witness
851,287,Suspect
4845,4304,Other
6167,1212,Suspect
6435,4025,Arrest
6698,635,Suspect
4142,4009,Other
3731,142,Witness
4626,230,Arrest
974,3093,Arrest
4406,2257,Suspect
4572,4230,Arrest
5962,3379,Arrest
4845,1132,Victim
5687,3200,Arrest
5598,961,Other
863,615,Victim
7466,735,Suspect
3993,4508,Victim
1723,1494,Victim
5607,3979,Other
85,1293,Suspect
404,3869,Suspect
6278,1600,Arrest
5682,4592,Victim
4256,3811,Other
7941,4782,Arrest
4259,3978,Arrest
4350,3231,Witness
2286,2533,Suspect
5947,2371,Suspect
4012,3411,Other
6706,123,Other
4512,670,Suspect
3325,4945,Victim
6767,4257,Victim
7472,4099,Suspect
3780,3994,Other
1638,300,Arrest
6054,766,Other
3447,1368,Other
3373,184,Victim
2919,3988,Arrest
2514,3395,Other
5490,1775,Arrest
2945,3352,Arrest
1988,2940,Witness
4187,4059,Suspect
6719,3684,Other
4561,455,Witness
1215,87,Suspect
7986,4154,Other
3859,4159,Victim
1102,2835,Arrest
4390,4147,Witness
1928,1034,Other
1618,1255,Victim
2218,1411,Suspect
806,518,Arrest
7708,313,Arrest
5902,4069,Victim
4151,3199,Other
5368,2652,Other
6314,2171,Suspect
7432,972,Witness
6649,2899,Suspect
4173,994,Victim
6508,3035,Other
6108,4550,Arrest
6236,3127,Victim
7825,1223,Other
7884,1865,Arrest
6555,1921,Other
5903,253,Suspect
41,3962,Suspect
1714,1408,Victim
5191,2028,Victim
1936,3715,Suspect
3936,2067,Arrest
3013,4494,Other
3671,4993,Witness
7586,3821,Suspect
2524,1468,Other
3338,1028,Other
2754,512,Other
1238,2454,Witness
3907,531,Witness
3611,3546,Other
906,256,Victim
22,4885,Witness
3968,4434,Arrest
4023,4699,Victim
6361,1667,Arrest
2299,2870,Suspect
3652,2264,Witness
4142,2707,Victim
3229,4732,Suspect
413,455,Other
3677,4744,Victim
1818,3620,Victim
2654,2556,Suspect
1816,2226,Witness
3524,4408,Victim
3449,3486,Witness
4972,305,Victim
6208,2570,Witness
4796,3400,Witness
6232,315,Arrest
2926,4332,Arrest
3571,2934,Arrest
7589,729,Witness
1069,1035,Suspect
7264,3265,Arrest
2107,3277,Suspect
6069,3948,Other
3279,2092,Arrest
2738,780,Suspect
2440,1331,Victim
323,1290,Arrest
3540,3247,Witness
4288,3535,Other
1092,2140,Suspect
5430,3249,Victim
2524,4085,Arrest
5837,2709,Victim
4801,3338,Arrest
5724,2087,Suspect
288,1711,Other
7885,3305,Victim
6940,852,Arrest
3383,258,Witness
6824,3325,Arrest
572,4674,Witness
7165,2448,Other
3085,3876,Suspect
5997,1030,Suspect
661,2937,Victim
3681,4336,Arrest
7114,2261,Witness
2191,1194,Suspect
1041,3739,Arrest
399,288,Other
5811,2813,Victim
1074,3119,Victim
1146,3697,Witness
500,2910,Witness
7826,3578,Suspect
3379,1525,Other
5258,2405,Other
623,87,Witness
7889,1993,Suspect
7540,3505,Other
1913,3558,Arrest
1093,1011,Arrest
6335,1735,Suspect
355,64,Other
2401,2000,Other
6994,1469,Suspect
5078,1558,Arrest
6809,39,Suspect
3941,814,Other
106,88,Suspect
7468,674,Witness
6492,388,Witness
1913,2525,Arrest
5301,3630,Witness
3792,2143,Victim
3797,3934,Arrest
1385,2293,Arrest
3670,1106,Witness
3190,491,Witness
6579,2140,Arrest
2912,4772,Arrest
1651,3321,Arrest
1095,1128,Victim
7315,3021,Other
2899,3129,Arrest
5667,4900,Witness
1367,2871,Victim
2522,2927,Other
2052,4175,Suspect
4338,3836,Other
787,294,Witness
1922,1898,Witness
6042,3602,Other
6535,1920,Witness
5112,4635,Victim
6998,4380,Suspect
5373,3775,Other
2267,4332,Other
1900,2100,Arrest
5131,4795,Arrest
5555,2874,Suspect
2217,4823,Suspect
3492,995,Witness
4906,260,Suspect
5995,4857,Other
4598,1746,Arrest
688,342,Arrest
7432,2863,Other
1999,1538,Witness
6601,853,Arrest
277,1329,Victim
1792,2057,Victim
2442,3632,Victim
4968,4406,Other
2421,4217,Arrest
778,1090,Other
7622,1614,Witness
7858,4981,Other
3200,2490,Other
2149,246,Arrest
713,1643,Arrest
7596,1009,Arrest
7602,3917,Other
6304,4791,Victim
5819,3068,Victim
2190,2023,Witness
1691,2400,Other
259,213,Suspect
950,2840,Suspect
4540,2426,Arrest
4781,162,Victim
2324,2653,Arrest
5115,1436,Suspect
3356,3705,Arrest
7177,3224,Arrest
169,155,Suspect
